zip,lat,lon,state,state_code
86403,34.4814,-114.3483,Arizona,AZ
86404,34.5575,-114.3307,Arizona,AZ
86405,34.4839,-114.3225,Arizona,AZ
86406,34.4228,-114.125,Arizona,AZ
86409,35.2633,-114.0223,Arizona,AZ
86411,35.3692,-113.7272,Arizona,AZ
86412,35.3972,-113.8432,Arizona,AZ
86413,35.3002,-114.2215,Arizona,AZ
86426,35.0052,-114.5687,Arizona,AZ
86427,35.0043,-114.5812,Arizona,AZ
86429,35.1715,-114.5386,Arizona,AZ
86430,35.1473,-114.5433,Arizona,AZ
86431,35.3896,-114.2221,Arizona,AZ
86432,36.8872,-113.9297,Arizona,AZ
86433,35.0285,-114.3837,Arizona,AZ
86434,35.5378,-113.4202,Arizona,AZ
86436,34.7784,-114.4817,Arizona,AZ
86437,35.3788,-113.6141,Arizona,AZ
86438,34.8722,-114.1494,Arizona,AZ
86439,35.1478,-114.5683,Arizona,AZ
86440,34.8929,-114.5951,Arizona,AZ
86441,35.5692,-114.3777,Arizona,AZ
86442,35.106,-114.5947,Arizona,AZ
86443,35.2106,-114.1792,Arizona,AZ
86444,35.9822,-114.0775,Arizona,AZ
86445,35.7759,-114.5001,Arizona,AZ
86446,34.8499,-114.5917,Arizona,AZ
85901,34.2998,-110.0,Arizona,AZ
85902,34.2981,-110.0352,Arizona,AZ
85911,34.0448,-110.4854,Arizona,AZ
85912,34.2666,-110.2031,Arizona,AZ
85923,34.3617,-110.2954,Arizona,AZ
85926,33.7906,-109.9887,Arizona,AZ
85928,34.41,-110.5883,Arizona,AZ
85929,34.1662,-109.9869,Arizona,AZ
85933,34.4086,-110.56,Arizona,AZ
85934,34.3003,-110.2457,Arizona,AZ
85935,34.1175,-109.9197,Arizona,AZ
85937,34.4959,-110.0807,Arizona,AZ
85939,34.439,-110.0858,Arizona,AZ
85941,33.8021,-109.9937,Arizona,AZ
85942,34.7814,-110.0435,Arizona,AZ
86025,34.9085,-110.1434,Arizona,AZ
86029,34.9806,-110.0582,Arizona,AZ
86030,35.9278,-110.6729,Arizona,AZ
86031,35.4056,-110.0848,Arizona,AZ
86032,34.9814,-110.3373,Arizona,AZ
86033,36.6883,-110.2652,Arizona,AZ
86034,35.8082,-110.2845,Arizona,AZ
86039,35.8742,-110.6235,Arizona,AZ
